Record Length,Analog:1400
Sample Interval,CH:0.0000000010000
Vertical Units,CH1:V CH3:V,,,
Vertical Scale,CH1:+1.000000E+00 CH3:+1.000000E+00,,,
Vertical Offset,CH1:+2.000000E-01 CH3:-3.500000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,0.1000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMEBQ3R3911,,,
Software Version,8.1.6.1.33,,,
Source,CH1,CH3
Second,Volt,Volt
+4.170000E-07,+2.880000E+00,+3.400002E-01
+4.180000E-07,+2.920000E+00,+3.400002E-01
+4.190000E-07,+2.960000E+00,+3.400002E-01
+4.200000E-07,+2.960000E+00,+3.800001E-01
+4.210000E-07,+2.920000E+00,+3.400002E-01
+4.220000E-07,+3.000000E+00,+3.400002E-01
+4.230000E-07,+3.000000E+00,+3.400002E-01
+4.240000E-07,+3.000000E+00,+3.400002E-01
+4.250000E-07,+3.000000E+00,+3.400002E-01
+4.260000E-07,+3.000000E+00,+3.400002E-01
+4.270000E-07,+3.000000E+00,+3.400002E-01
+4.280000E-07,+3.040000E+00,+3.400002E-01
+4.290000E-07,+3.040000E+00,+3.400002E-01
+4.300000E-07,+3.000000E+00,+3.800001E-01
+4.310000E-07,+3.000000E+00,+3.400002E-01
+4.320000E-07,+3.080000E+00,+3.400002E-01
+4.330000E-07,+3.080000E+00,+3.000002E-01
+4.340000E-07,+3.000000E+00,+3.000002E-01
+4.350000E-07,+3.080000E+00,+3.000002E-01
+4.360000E-07,+3.080000E+00,+3.000002E-01
+4.370000E-07,+3.040000E+00,+3.000002E-01
+4.380000E-07,+3.120000E+00,+3.000002E-01
+4.390000E-07,+3.080000E+00,+3.400002E-01
+4.400000E-07,+3.120000E+00,+3.000002E-01
+4.410000E-07,+3.160000E+00,+3.000002E-01
+4.420000E-07,+3.160000E+00,+2.600000E-01
+4.430000E-07,+3.120000E+00,+2.600000E-01
+4.440000E-07,+3.160000E+00,+2.600000E-01
+4.450000E-07,+3.160000E+00,+2.600000E-01
+4.460000E-07,+3.160000E+00,+2.600000E-01
+4.470000E-07,+3.120000E+00,+2.600000E-01
+4.480000E-07,+3.160000E+00,+2.600000E-01
+4.490000E-07,+3.160000E+00,+2.600000E-01
+4.500000E-07,+3.160000E+00,+2.600000E-01
+4.510000E-07,+3.160000E+00,+2.600000E-01
+4.520000E-07,+3.120000E+00,+2.600000E-01
+4.530000E-07,+3.120000E+00,+2.200000E-01
+4.540000E-07,+3.160000E+00,+2.200000E-01
+4.550000E-07,+3.120000E+00,+3.000002E-01
+4.560000E-07,+3.160000E+00,+2.200000E-01
